,0
0,"Highlights•The mechanisms underlying cancer drug resistance remain poorly understood.•Genomic clones or interaction networks drive therapeutic resistance.•Genetic, genomic and transcriptional heterogeneity dictate individualized precise therapy.•A clinico-genomic network model could speed up the advent of precision oncology.Progress in understanding and overcoming fatal intrinsic and acquired resistance is slow, with only a few exceptions. Despite advances in modern genome and transcriptome analysis, the controversy of the three different theories on drug resistance and tumor progression, namely dynamic intratumor heterogeneity, pre-existing minor genomic clones and tumor ecosystem, is unresolved. Moreover, evidence on transcriptional heterogeneity suggests the necessity of a drug bank for individualized, precise drug-sensitivity prediction. We propose a cancer type- and stage-specific clinicogenomic and tumor ecosystemic concept toward cancer precision medicine, focusing on early therapeutic resistance and relapse."
1,"Highlights•Bioprinting can be used to fabricate organ-on-a-chip models owing to its ability to print multiple materials and cell types simultaneously with good spatial resolution and reproducibility.•The combination of bioprinting with microfluidic organ-on-a-chip technologies enables the creation of a biomimetic microenvironment with a heterogeneous 3D structure.•Functional tissue structure can be printed directly on microfluidic chips using computerized printing programs.Bioprinting is a revolutionary technology to assemble scaffolds for growing tissues. Microfluidic organs-on-a-chip is a useful platform with widespread applications mainly in drug screening and pathological studies. Organ-on-a-chip models are created to recapitulate the structural, microenvironmental and physiological functions of human organs. Recently, bioprinting has been applied to fabricate organ-on-a-chip models owing to its ability to print multiple materials and cell types simultaneously with good spatial resolution and reproducibility. This enables the creation of a biomimetic microenvironment with heterogeneous 3D structures. Functional vascularized tissue structure can be printed directly enabling fluid flow for transport of nutrition, gaseous exchange and removal of waste. We examine the integration of microfluidic and bioprinting technologies for organ-on-a-chip applications and discuss the future trends and challenges."
2,"Highlights•Current treatments for AMD and the need for LAD are summarized.•Key considerations for development of LAD technologies are detailed.•Currently marketed products that could or do utilize LAD approaches are reviewed.•Emergent LAD technologies for current and future therapies are considered.Long-acting delivery (LAD) of ocular therapeutics has potential to improve the standard of care for ocular diseases, such as age-related macular degeneration (AMD), by increasing patient compliance and reducing overall treatment burden on patients and healthcare providers. Although relatively few ocular LAD technologies are currently on the market, a variety of emergent and novel protein engineering-based technologies are being investigated in both the laboratory and clinical settings. Here, we review some of the key indications and treatments that would benefit from the development of LAD for the treatment of ocular diseases and examine the current state of LAD technologies that leverage protein-engineering approaches as well as nascent technologies with potential for future impact."
3,"Highlights•Early information availability is essential for decision-making concerning innovative and disruptive technologies.•Horizon scanning could represent an efficient tool in support of decision-making and rational use of available resources.•The ultimate goal is to ensure that patients will have timely access to innovation to promote public health.The new era of medical innovation is a great opportunity for healthcare; but it poses new challenges for affordability of healthcare systems. To enable timely implementation of value-based clinical care and payment approaches, it is important to look beyond usual timescales to inform decision makers about forthcoming disruptive technologies early. Horizon scanning could represent an efficient tool in support of decision making and rational use of available resources. Different horizon scanning programmes exist in Europe and there is a need for further international cooperation between competent authorities. In relation to this, the present review aims to highlight the importance of early information availability and illustrates the Italian Medicines Agency Horizon Scanning System in the context of the European regulatory network."
4,"Highlights•Depression is a multifactorial disease, requiring multi-addressable treatments.•Intranasal drug delivery could solve the problem of treatment-resistant depression.•Direct intranasal drug transport to the brain can benefit from nanocarrier formulation.•Intranasal neuropeptides could enlarge the antidepressant therapeutic portfolio.•Mesenchymal stem cells are at the forefront in intranasal delivery.Why is nose-to-brain delivery considered to be a strategy that directly allows the access of antidepressants to the brain? In which circumstances can the intranasal pathway be applicable? Are there any requirements to follow? What triggers the antidepressant market? Which constraints are imposed during discovery programs? What opportunities can arise and what is their current status of development? Are they already translated into clinical practice? Which challenges are expected from recent development strategies? This review aims at providing a critical appraisal of nose-to-brain delivery of antidepressants, framed within a comprehensive analysis of drivers, restraints, opportunities and challenges.Graphical abstractDownload high-res image (149KB)Download full-size image"
5,"Highlights•Understanding human skin models encourages their use in xenobiotic metabolism testing.•Skin models indicate relevant expression and activity of phase II metabolizing enzymes.•Skin shows properties of chemical detoxification and elimination in vitro and ex vivo.•More physiologically relevant models (e.g., skin-on-a-chip) are expected in the near future.Understanding skin metabolism is important when considering drug discovery and safety assessment. This review compares xenobiotic skin metabolism in ex vivo skin to reconstructed human skin and reconstructed human epidermis models, concentrating on phase I and phase II enzymes. Reports on phase I enzymes are more abundant than for phase II enzymes with mRNA and protein expression far more reported than enzyme activity. Almost all of the xenobiotic metabolizing enzymes detected in human skin are also present in liver. However, in general the relative levels are lower in skin than in liver and fewer enzymes are reported."
6,"Highlights•The anatomy and physiology of the eye provides challenges for the development of LAD technologies.•The complexity of LADs further complicates their safety assessment.•The route of administration has a critical influence on the types of toxicity observed with LADs.•Immune-mediated reactions directed against LADs can occur within the globe of the eye.The safety evaluation of ocular long-acting delivery (LAD) technologies is a nascent field. Here, we detail the challenges in assessing the safety of novel LAD technologies, and well as the most common types of toxicity encountered during early toxicity testing. A detailed understanding of the route of administration, pharmacology, and functionality and/or pharmacokinetics (PK) of the LAD, along with all of its component parts, including the active pharmaceutical ingredient and excipients, is crucial for the successful development of next-generation long-acting ocular therapeutics."
7,"Highlights•The eventual candidate drug is often synthesized before or in early lead optimization.•A well-defined candidate drug target profile is key to accelerate drug discovery.•A screening cascade should provide effective filtering of compounds.•Line-of-sight is needed in early discovery for rapid identification of candidate drugs.•The goal should be clear from the start of the drug discovery phase.The eventual candidate drug (CD) is often already synthesized during early drug discovery but not nominated until much later. To facilitate the rapid identification of a potential CD, a thoroughly worked-out CD target profile (CDTP) with criteria acceptable for the disease target product profile (TPP) is required at the start of lead generation (LG). In addition to driving the compound property optimization, the preclinical project team has to understand the ultimate goal to be able to rapidly identify and progress a potential CD. A screening cascade with meaningful and well-balanced progression criteria based on the CDTP is required to rapidly filter out unwanted compounds and to progress a potential CD through the cascade to candidate selection."
8,"AbstractRecent research strongly supports the hypothesis that posttraumatic stress disorder (PTSD) can be accompanied by obesity and related metabolic disturbances. The mechanisms of these associations are however still not well defined, although disturbed functions in the sympathetic-adrenergic nervous system together with the disturbed release of hormones via the endocrine HPA (hypothalamic-pituitary-adrenal) axis apparently play a role. Leptin resistance and ghrelin excesses might contribute to a disturbed hypothalamic function, and also disturb other cerebral functions, leading to dysfunctional reward signaling and uncontrolled appetite combined with a tendency to alcohol abuse. Secondarily, cortisol stimulation will contribute to the development of central obesity which is known to facilitate the development of metabolic syndrome, including slightly increased levels of inflammatory biomarkers such as C-reactive protein and fibrinogen. While previous therapeutic strategies have focused on early psychotherapeutic interventions in PTSD, the present review emphasizes the importance of better therapeutic approaches regarding the somatic correlates of the syndrome. Strict regulation of dietary meals and food composition with minimal intake of sweets and saturated fat, as well as alcohol avoidance, can provide a basic therapeutic framework. A cognitive psychotherapeutic approach with graduated desensitization toward trigging factors, combined with pharmacotherapy, is discussed in the present review."
9,"AbstractMitochondria-derived peptides (MDPs) are a series of peptides encoded by mitochondrial DNA, and have similar functions to mitochondria. At present there are three types of MDPs that have been found, including Humanin, MOTS-c and SHLP1-6. They are new metabolic regulators of human body, and play a cytoprotective role in maintaining mitochondrial function and cell viability under pressure. Increasingly researchers have demonstrated that MDPs have proved effects on cell survival, metabolism, response to stressors, and inflammation in vivo and vitro. Recently with the advance of research, it have shown that MDPs have significant effects on the development of cardiovascular diseases (CVD). In this review, we will cover the relationships of MDPs with cardiovascular risk factors, myocardial ischemia, reperfusion injury, myocardial fibrosis, and coronary microcirculatory dysfunction, and also their possible pathogenic mechanisms. MDPs are considered to be novel biomarkers or therapeutic targets for CVD."
