,0
0,KeywordsExtensive livestock productionFenced systemsGrazing management strategiesComplete destockingContinuous grazingSpecialized grazing systemsSustainability indicators
1,KeywordsHepatocellular carcinomaCancer nanotechnologyCell responsechemotherapy
2,KeywordsQuality by designDesign spaceRisk assessmentProcess analytical technologyFluid bed granulationmicroNIR
3,Keywordsammonia volatilizationpastureenhanced efficiency fertilizersenvironmental damage costsustainability
4,KeywordsPollen-mediated gene flowPollen movementResistance spreadSeed-mediated gene flowWeed sanitationWeed seed dispersal
5,KeywordsBalanceCarbonGrazingLivestockNitrogen use efficiencyNutrient budgetsReseed
6,KeywordsAgroecologyArthropodsCover cropNatural enemyFunctional groupTillage
7,KeywordsFertiliser analysisSoil characterisationDistribution patternSoil nutrients
8,KeywordsSimulation-based optimizationGraftingResource allocationLayout
9,KeywordsPotatoInitial orientationInitial speedRotationQuadratic coefficient
10,KeywordsDairy cowsMounting behaviorImage region detectionGeometric featureOptical flow feature
11,KeywordsWind tunnelParticle Image VelocimetryCFDShading screensPorosity
12,KeywordsVision-based navigationUnmanned aerial vehiclesAgricultural roboticsDynamic obstacle avoidance
13,KeywordsAir assisted sprayersOutlet planeArtificial vineyardStatic and dynamic assaysVelocity profile
14,KeywordsCattleHealth monitoringBody temperatureImplantable wireless thermometerMachine learning
15,KeywordsCardiovascular diseaseMitochondria-derived peptidesHumaninMOTS-c
16,KeywordsModellingSpatial disaggregationNitrogen pollutionNitrogen surplusGross nitrogen balance
17,KeywordsLong-term field experimentSoil organic matterSOC sequestration efficiencyWater-soluble carbon
18,KeywordsCoffeeConnectivityFallowLandscapeRubberSpecies richness
